Name,Country,City,Date In,Date Out,Duration,Price,Avg Price,Company,Include,IncludePrice,Longitude,Latitude,Unnamed: 13,Unnamed: 14
The Quarter,Thailand ,Bangkok,11/22/2022,11/25/2022,3.0,93.29,$31.10 ,Agoda,Yes,Yes,13.73765064,100.5153003,,
Peamsuk Sweet Prachin Buri,Thailand,Prachin Buri,11/25/2022,11/27/2022,2.0,$38.00 ,$19.00 ,Booking,Yes,Yes,13.4235453,103.8575289,,
Suivs Homestay,Cambodia,Angkor Wat,11/27/2022,12/2/2022,5.0,,,,Yes,Yes,11.568271,104.9224426,,
Sovanphum Gusthouse,Cambodia,Phnom Penh,12/2/2022,12/4/2022,2.0,$36.00 ,$18.00 ,Booking,Yes,Yes,10.50614075,103.2620564,,
Invito Guesthouse,Cambodia,Sihanoukville,12/4/2022,12/6/2022,2.0,$30.00 ,$15.00 ,Booking,Yes,Yes,10.6314754,104.132637,,
Kampot Guesthouse,Cambodia,Kampot,12/6/2022,12/7/2022,1.0,10.8,$10.80 ,Booking,Yes,Yes,11.568271,104.9224426,,
Sovanphum Gusthouse,Cambodia,Phnom Penh,12/7/2022,12/8/2022,1.0,$19.00 ,$19.00 ,Self,Yes,Yes,18.7544594,100.624804,,
Bangkok Airbnb,Thailand,Bangkok,12/9/2022,,,,,,Yes,Yes,18.7544594,100.624804,,
Khao Sok Airbnb,Thailand,Khao Sok,,12/17/2022,,,,,Yes,Yes,10.0921822,99.83953618,,
Happy Bungalow,Thailand ,Koh Tao,12/17/2022,12/23/2022,6.0,$79.00 ,$13.17 ,Booking,Yes,Yes,9.7349503,100.0305711,,
Koh Phangan Bungalow,Thailand,Koh Phangan,12/23/2022,1/2/2023,10.0,$202.00 ,$20.20 ,Airbnb,Yes,Yes,8.0309505,98.82198102,,
Krabi Stay,,Krabi,1/2/2023,1/4/2023,,,,,Yes,Yes,8.0321024,98.8225499,,
Mr Longs Hostel,Thailand,Ao Nang,1/4/2023,1/9/2023,5.0,$68.36 ,$13.67 ,Airbnb,Yes,Yes,7.9366015,98.3529292,,
Baan Malee,Thailand ,Phuket,1/9/2023,1/11/2023,2.0,31,$15.50 ,Booking,Yes,Yes,8.4882267,76.947551,,
Rams Guest House,India,Trivandrum,1/11/2023,1/13/2023,2.0,$25.00 ,$12.50 ,Booking,Yes,Yes,9.1996179,76.48587543,,
Golden Beach Home Stay,India,Alleppey,1/13/2023,1/17/2023,4.0,$48.00 ,$12.00 ,Booking,Yes,Yes,9.9674277,76.2454436,,
Chackalakkal Home Stay,India,Cochin,1/17/2023,1/20/2023,3.0,39,$13.00 ,Booking,Yes,Yes,10.0869959,77.0600915,,
Greenwoods Cottages,India,Munnar,1/20/2023,1/23/2023,3.0,$46.00 ,$15.33 ,Booking,Yes,Yes,9.9674277,76.2454436,,
Chackalakkal Home Stay,India,Cochin,1/23/2023,1/25/2023,2.0,25,$12.50 ,Booking,Yes,Yes,9.98408,76.2741457,,
